"","Symbol","logFC","FDR"
"317","Mal",1.26346160008602,0.00900141501422336
"318","Lonrf1",-0.824569532585102,0.00583884054048148
"319","Arhgap26",-1.84573528891117,1.39451949476257e-09
"320","Slc43a1",-2.13514619264478,8.18003889655764e-24
"321","Igfbp5",0.797698843731404,7.94227951455948e-05
"322","Osgin1",-0.824051791857109,0.00770514692413408
"323","Tbc1d8b",0.635969397101887,0.00774336906242386
"324","Sphk2",0.769135966788612,1.83592330332131e-05
"325","Actn1",0.762852703369597,0.00976932872223038
"326","Pla2g4e",-0.913355242637131,2.39842909325059e-06
"327","Hnrnpa2b1",0.681870956381333,2.90117653915413e-08
"328","E230016M11Rik",-1.33461633877924,5.22532800638019e-05
"329","Lrrc38",0.893142401583715,0.00224422274754707
"330","Pdlim5",-0.747024719924446,7.1634271512161e-11
"331","Stk17b",-0.651871169615434,0.0057570182491722
"332","Cebpd",-3.05466512244686,4.03057447383989e-08
"333","Myadm",0.61763174495723,0.0025407614848038
"334","Tbc1d14",0.588506427733428,0.00546431819693076
"335","Ehd3",-0.642459709155648,0.00964135151605475
"336","Nav2",0.918783895119279,7.88512863808571e-05
"337","Lmo2",0.871667673923301,0.00438166434407903
"338","Nr1d1",0.997748321243513,9.52027379173526e-15
"339","Acer2",-1.18528575665252,0.00988963630502161
"340","Tuba1a",0.692867974284739,0.000755558865503169
"341","Btg1",-0.59318858027849,0.000951971918716607
"342","Fktn",0.856230170939672,1.13805691501563e-08
"343","Per3",1.06105591622431,1.50406635575654e-06
"344","Cnksr1",-0.676477340378144,4.71571644671329e-08
"345","Adcy7",0.86339734716652,0.00448981765380901
"346","Acta2",1.10009425211453,0.0025240350081515
"347","Rrs1",-0.738895558725164,4.2228830182019e-05
"348","Zranb1",-0.603680533027185,7.76331814388584e-15
"349","Lox",-1.68112873467487,2.64008891127932e-17
"350","Rabep2",-0.835610751524109,0.000144057149564196
"351","Gm11266",1.29623248471159,0.00429555775263708
"352","Snhg12",-1.67624626492502,1.53600776426743e-07
"353","Gadd45a",-1.43887813976148,1.30970208230264e-10
"354","Lgi2",1.19955718705471,0.00126100755622967
"355","Pdp1",0.700247043036859,5.03231242974885e-12
"356","Ctxn3",-0.829599417003521,0.000349505114091739
"357","Gm15816",0.611989676871809,1.06019062994164e-10
"358","Slc9a3r2",0.743263451297743,2.39842909325059e-06
"359","Ahdc1",0.739807887416409,8.30785618007708e-06
"360","Slc12a2",-0.667319458244264,6.06888525625914e-06
"361","Wbp1l",-1.14692191627423,7.22547708964796e-16
"362","Cd209d",1.52810145922468,0.004936134924248
"363","Nmrk2",2.71483919627468,1.97240848461918e-43
"364","Twf2",-0.852146869732432,8.4855708002382e-05
"365","Cited2",-0.834380042123344,0.00120459419776507
"366","Zbtb2",-0.729311264330306,0.000102141253169563
"367","Slc39a14",-0.941543480168186,0.000977555182041533
"368","Klhl38",-1.60398710852125,8.45917336695296e-19
"369","Klf15",-1.03961446308804,1.43770769254555e-09
"370","Nrip1",-0.622426104341149,0.000118284907858201
"371","Retreg1",-1.53127307843005,3.08374502123749e-23
"372","Bnip3",-0.681903593930538,1.10893801410164e-10
"373","Ddit4",-4.01715061093021,4.81012630145219e-05
"374","Irf2bp2",-0.974174091766219,1.41148454235539e-14
"375","Pbx1",0.581223429475962,0.00064934620146953
"376","Btg2",-1.29902132793257,6.06888525625914e-06
"377","Fam166a",-0.667238060669096,0.000799631963557084
"378","5930430L01Rik",1.1481793826175,0.000617473646020041
"379","B230307C23Rik",-0.771573017713393,1.3035692891157e-05
"380","Slc35f5",-0.625950084457474,1.6769377768452e-05
"381","Zcchc2",-0.6109313630277,9.71540233666505e-05
"382","Gabarapl1",-0.957415826063059,3.37085489014044e-08
"383","Abca8b",0.612403910258809,8.52462434166632e-06
"384","Rbl2",-0.707689164381079,7.38716875014565e-12
"385","Dynll2",0.788681872910354,1.81708562394515e-07
"386","Mocs1",-1.11100613004761,9.65336159955361e-08
"387","Rnf213",0.741821156507548,1.65329819803993e-09
"388","Maff",-1.058210746722,0.00253623089620476
"389","Bmpr1b",-0.67426982858639,7.15401817692981e-06
"390","Gm18853",1.71424430817866,0.00120175840605742
"391","Gbp4",1.08350880142264,0.00814967923368847
"392","Arntl",-1.20649875649982,1.14957830602498e-07
"393","Actn4",0.582020282389255,0.000384737146719941
"394","Pfkfb4",-0.856657087393355,3.07646953055151e-13
"395","Galnt15",-1.54935248800926,0.000210208248192518
"396","Net1",-0.945672678461714,6.06888525625914e-06
"397","Gdf10",1.06092142184252,0.0068342809893869
"398","Sptbn5",1.30817856920654,0.00367276197422479
"399","Hnrnph3",0.683429482929171,0.000143263599093227
"400","Ppargc1b",1.0162129559921,1.15399381650494e-08
"401","Mafk",-0.732731547105942,0.000113748516989514
"402","Tmpo",-0.727883593913691,1.64326825105452e-07
"403","Prom1",-1.36058468713667,2.22521549358348e-06
"404","Tppp3",0.623531261517139,0.00299953687843893
"405","Lzts1",1.18750243614493,0.00745370800295011
